method,seed,auc_roc,ap,f1,precision,recall,accuracy,threshold,train_time_sec,score_time_sec,error,dataset,n_rows,n_features,outlier_rate
LODA,69,0.5441734417344173,0.07941396684766819,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,0.04195200899189516,0.015972614288330078,0.0,,14_glass,214,7,0.04205607476635514
LODA,72,0.6878048780487804,0.08135654381637532,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,0.039537896985884134,0.02299189567565918,0.0,,14_glass,214,7,0.04205607476635514
LODA,888,0.6048780487804877,0.06778654165250284,0.0,0.0,0.0,0.9158878504672897,0.042730962024145974,0.015791893005371094,0.0,,14_glass,214,7,0.04205607476635514
DeepSVDD,69,0.6287262872628726,0.17937447170539836,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,2.2192711016842233,0.19376897811889648,0.002003908157348633,,14_glass,214,7,0.04205607476635514
DeepSVDD,72,0.6981029810298103,0.09735880977485785,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,3.8927332185139187,0.15946030616760254,0.0,,14_glass,214,7,0.04205607476635514
DeepSVDD,888,0.5008130081300812,0.062171099040875,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,2.0978385789372287,0.16376590728759766,0.0,,14_glass,214,7,0.04205607476635514
CALDM-D,69,0.7002710027100271,0.09839134996926494,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,1.4961509036126563,14.068922281265259,0.8936536312103271,,14_glass,214,7,0.04205607476635514
CALDM-D,72,0.694850948509485,0.11093351579471145,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,1.5358971201370837,14.1600022315979,0.8608672618865967,,14_glass,214,7,0.04205607476635514
CALDM-D,888,0.7138211382113822,0.10293487920121502,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,1.454301866972561,14.494215250015259,0.831047534942627,,14_glass,214,7,0.04205607476635514
CALDM-J,69,0.7571815718157182,0.1280705070222324,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,1.1629676289647597,5.692025184631348,0.8744542598724365,,14_glass,214,7,0.04205607476635514
CALDM-J,72,0.6926829268292682,0.10527333448061348,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,1.0869154590312613,5.5816121101379395,0.8526318073272705,,14_glass,214,7,0.04205607476635514
CALDM-J,888,0.8379403794037941,0.14848025476590432,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9252336448598131,1.2289384999007875,5.8229804039001465,0.8454594612121582,,14_glass,214,7,0.04205607476635514
KNN,69,0.6208414390270447,0.29740270641567473,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,46.15800481182919,0.3213331699371338,7.121228218078613,,17_InternetAds,1966,1555,0.1871820956256358
KNN,72,0.6208414390270447,0.29740270641567473,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,46.15800481182919,0.32863283157348633,7.100021600723267,,17_InternetAds,1966,1555,0.1871820956256358
KNN,888,0.6208414390270447,0.29740270641567473,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.7538148524923703,46.15800481182919,0.29253149032592773,7.116366863250732,,17_InternetAds,1966,1555,0.1871820956256358
LOF,69,0.6088963106056484,0.24208480997386078,0.3070652173913043,0.3070652173913043,0.3070652173913043,0.7405900305188199,3.1349598248152857,0.13761496543884277,0.1166841983795166,,17_InternetAds,1966,1555,0.1871820956256358
LOF,72,0.6088963106056484,0.24208480997386078,0.3070652173913043,0.3070652173913043,0.3070652173913043,0.7405900305188199,3.1349598248152857,0.1297140121459961,0.12119841575622559,,17_InternetAds,1966,1555,0.1871820956256358
LOF,888,0.6088963106056484,0.24208480997386078,0.3070652173913043,0.3070652173913043,0.3070652173913043,0.7405900305188199,3.1349598248152857,0.12541699409484863,0.13599681854248047,,17_InternetAds,1966,1555,0.1871820956256358
IForest,69,0.7211613021711922,0.5743636782083218,0.5135869565217391,0.5135869565217391,0.5135869565217391,0.8179043743641913,-0.007016642783927586,0.17372488975524902,0.0158841609954834,,17_InternetAds,1966,1555,0.1871820956256358
IForest,72,0.6980804810360777,0.48471361818314085,0.44565217391304346,0.44565217391304346,0.44565217391304346,0.7924720244150559,-0.008024545978005877,0.19051814079284668,0.0,,17_InternetAds,1966,1555,0.1871820956256358
IForest,888,0.6777153507101268,0.45424503780348147,0.4048913043478261,0.4048913043478261,0.4048913043478261,0.7772126144455748,-0.010204948639879276,0.1746373176574707,0.0,,17_InternetAds,1966,1555,0.1871820956256358
